id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,200.0,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0.0,ORANG,2017
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0.0,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,2496.0,ORANG,2017
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,225096.0,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0.0,ORANG,2017
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0.0,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0.0,ORANG,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,0.0,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0.0,ORANG,2017
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0.0,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0.0,ORANG,2017
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0.0,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0.0,ORANG,2017
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,0.0,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0.0,ORANG,2017
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0.0,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0.0,ORANG,2017
